wire_number,A,B
1,6.198654108516673,5.8000118113815
2,5.7570513486115,5.968823624088097
3,5.890510620188756,5.854420692045676
4,5.966552433957479,5.982619459465605
5,5.8247065972871,5.963979133036503
6,6.214135299229732,5.747833367175004
7,5.535787793073113,6.11763683352977
8,6.41190582660756,5.727066499349095
9,5.990946217098737,5.980317362655454
10,5.877897101038885,5.9213128775255335
11,6.449101274240577,5.6102102085516155
12,5.933994126836147,5.9895075837249285
13,5.722807726674084,5.841096147793433
14,6.008022078939727,5.851979807253649
15,5.706292993386616,5.706783477264951
16,5.719698794018513,5.7246061182474595
17,5.934720805357349,5.788490512521449
18,5.7095391673237454,5.9115092840529115
19,6.187314660818472,5.790130924372503
20,5.833787311054453,5.724330223224017
21,5.935549092759203,5.5133241705760305
22,5.6810243923289985,5.3955919228268945
23,5.939197629000269,5.361722322459413
24,5.961954106313408,5.934047082337121
25,6.035524163712543,5.695716737563558
26,5.713290311366476,5.614366481658909
27,6.017819603229712,5.549980114697906
28,5.931185546751063,5.4094180525154485
29,5.947563914137669,5.805073730386531
30,6.058189839543762,5.67401310957123
31,6.068530856644312,5.77145050903709
32,5.781701438836288,5.487284269817278
33,6.006421707534974,5.772850319644168
34,5.976345875743826,5.758372649143603
35,5.919774901592997,5.55573667526093
36,5.449849674445972,5.710735038065771
37,6.092941952955179,5.969080300589482
38,5.911195407633263,5.988137215806511
39,6.323964671420377,6.129603517740127
40,6.3867887836306805,6.105141545012308
41,6.17120785361677,6.048758233697413
42,5.598058007994609,6.077875192288874
43,5.677527527519707,6.179735961498754
44,5.741184473876726,5.966442055871437
45,5.809693726325408,6.0731242697101
46,5.820078780183449,6.0478921467356175
47,5.636694282404036,6.25249591241084
48,6.1895574555019195,6.114250122222947
49,5.69399018113466,6.1707423831352415
50,5.67858620222788,6.26607966599229
51,3.7159816320222063,6.585765438527131
52,6.273874688009119,6.177781260600868
53,6.377739640979533,6.029207401819979
54,5.612571821384195,6.235617516536083
55,5.804660750645886,6.213795650733928
56,5.709107705381937,6.273771874343733
57,5.56143599596079,6.461728830930407
58,5.944321828093471,5.971721914676592
59,5.532834157671372,6.33691575020391
60,5.529702722178813,6.194109914961502
61,5.652043747940632,6.241411393099019
62,5.6089321602261135,6.22580088446872
63,5.494774559831543,6.111557761006571
64,5.698911518319723,6.474320910200649
65,5.514898489683923,6.286244322992167
66,5.7159082328279,6.144635374789143
67,6.701757094444238,6.201625587505761
68,5.2848452435152895,5.790401533828733
69,5.036862285201474,5.76188732020907
70,5.5374818520595905,5.585028074525599
71,5.120291931252971,5.695032161732831
72,5.281384362620706,5.586619601897105
73,5.21837314631612,5.783870142987992
74,5.298594119053733,5.868332258002685
75,5.323819482861972,5.5563753706688
76,5.119375022194916,5.79580377084913
77,5.1925703022441505,6.039296305510055
78,5.250178030627374,5.844651061989867
79,5.14834486321848,5.649145912571511
80,5.1764056179943525,5.906884492078035
81,5.276315442117431,5.647355699127661
82,5.165333770867274,5.465584379136591
83,5.231277045375293,5.573582600032566
84,5.183670126073326,5.894440295377848
85,5.431830010114533,5.62038777833273
86,5.328712832661628,5.4581163507900206
87,5.49400671305922,5.699989726911607
88,5.260400460208428,5.60620536427957
89,5.305765443438114,5.571882987054134
90,5.123337397554616,5.588914888092046
91,5.172925677721711,5.990274353125969
92,5.334688339120411,5.884273709082421
93,5.097896592578335,5.9856385023585705
94,5.320779667719123,5.926981402502383
95,5.784586379763058,6.159907326229848
96,5.330243557220985,5.860717815357702
97,3.6796113209640735,5.96199823098145
98,5.868209022758701,6.087436096335904
99,5.110645739043066,6.053084169161386
100,5.092179467718563,5.878079845218784
101,5.287799932797168,5.930418397769004
102,5.157030741051201,5.649654735341291
103,5.203495087442063,6.316369652903806
104,5.175668742218584,5.6614334676923335
105,5.276220824357335,5.852076364390598
106,5.369859500906073,5.89218410207336
107,5.397962948983999,5.927894459709852
108,5.144777198439237,5.882544811930747
109,5.1357062065151,5.948521407647351
110,5.129103393930069,6.053844338462204
111,5.148282833471006,5.990928047710717
112,5.3165482603859155,5.7274640051251735
113,5.085254025187862,5.59891724448697
114,5.330976656605508,5.653350826072429
115,5.232052396249551,6.026172106349651
